experiment,seed,val_accuracy,val_macro_f1,val_weighted_f1,accuracy,macro_f1,weighted_f1
Body only,45,0.39,0.3052310700017194,0.36693124131760174,0.40444444444444444,0.2722096979404208,0.3752454222520546
Body only,46,0.4077777777777778,0.305093394671771,0.37937381484490895,0.39444444444444443,0.26325323703824716,0.3542475621194443
Body only,47,0.39666666666666667,0.2747233152987275,0.365104577237989,0.39444444444444443,0.2655832762107947,0.3637023220762151
Body only,48,0.37666666666666665,0.24911561976281282,0.3460472834552753,0.39,0.27667989234467505,0.35735222067916167
Subject+Body,42,0.39222222222222225,0.2540466757520195,0.3542079540887228,0.4066666666666667,0.29315842070475506,0.37416124425798303
Subject+Body,43,0.39444444444444443,0.30215063679025733,0.36939618236060145,0.4022222222222222,0.2660838656379426,0.3656252655106611
Subject+Body,44,0.4,0.2921903436340581,0.36964432894521476,0.4255555555555556,0.3121225215428315,0.3952152829644609
Subject+Body,45,0.41444444444444445,0.3096685486619264,0.3881594761813692,0.4111111111111111,0.27873491522242005,0.38091061411837385
Subject+Body,46,0.4177777777777778,0.3062057857861074,0.3906812219820788,0.3988888888888889,0.2752257140302431,0.3596839878392496
Subject+Body,47,0.4077777777777778,0.2717640602067697,0.37639371320574305,0.4022222222222222,0.27963781408207,0.3701248362949024
Subject+Body,48,0.39444444444444443,0.27872212626542736,0.3673347563440358,0.3933333333333333,0.277378919454934,0.3615604228242219
Main: subject+body+language,42,0.39111111111111113,0.2548598237085969,0.35307462389741484,0.4033333333333333,0.28859168786834255,0.3700963417690799
Main: subject+body+language,43,0.3888888888888889,0.3003092793142456,0.3642447688833547,0.40444444444444444,0.26901527807580017,0.36879597309088846
Main: subject+body+language,44,0.4,0.29223675724244985,0.36781808319889175,0.43,0.31701334258763836,0.40113208607467227
Main: subject+body+language,45,0.41555555555555557,0.3090890421222374,0.3899987373265924,0.4122222222222222,0.2776733314146969,0.3809450379383884
Main: subject+body+language,46,0.41888888888888887,0.3034301154734591,0.3919780540763513,0.4,0.27314490141821873,0.3603985769170086
Main: subject+body+language,47,0.4022222222222222,0.2662605946114187,0.3685466170093101,0.40555555555555556,0.2811479015475581,0.3730424430883742
Main: subject+body+language,48,0.39222222222222225,0.27483931453119137,0.3636075422249275,0.39,0.2755042456746739,0.356335322002738
Ablation: unigrams only,42,0.37333333333333335,0.26482192476780575,0.3460320449902631,0.4111111111111111,0.31688281531114654,0.3852384039841031
Ablation: unigrams only,43,0.39,0.302884829613812,0.36925836664176986,0.40444444444444444,0.306528175901153,0.3817854833289995
Ablation: unigrams only,44,0.3977777777777778,0.30177296911506046,0.37658266657142264,0.40444444444444444,0.3178596886590764,0.3851013078199354
Ablation: unigrams only,45,0.4088888888888889,0.32306757697877797,0.39421522536372283,0.4033333333333333,0.28154774209405337,0.38269300979027815
Ablation: unigrams only,46,0.4066666666666667,0.2691114289507767,0.37927845656757236,0.3977777777777778,0.2680204480256327,0.36481557278001364
Ablation: unigrams only,47,0.4,0.29620723343360184,0.3780023843289732,0.3988888888888889,0.2828519493788132,0.3731679422747205
Ablation: unigrams only,48,0.4077777777777778,0.31241874787583085,0.386444521102831,0.38333333333333336,0.28481595229414264,0.3603799013701772
Ablation: small vocabulary,42,0.36777777777777776,0.211180849151524,0.3197648652596782,0.37666666666666665,0.23081479742431946,0.33291229133268646
Ablation: small vocabulary,43,0.36333333333333334,0.2563874774528444,0.33129061469475796,0.38222222222222224,0.22840170890784112,0.33564588101203147
Ablation: small vocabulary,44,0.37444444444444447,0.24306915740484886,0.3335618282422435,0.4011111111111111,0.2651370301027051,0.3647465131134086
Ablation: small vocabulary,45,0.39,0.24768540739512718,0.35100809163564345,0.3933333333333333,0.2538225885249006,0.3556670585581969
Ablation: small vocabulary,46,0.39222222222222225,0.2629311972700242,0.3534182099055896,0.38,0.23885637332810825,0.3338608658837883
Ablation: small vocabulary,47,0.37777777777777777,0.22475916590100842,0.33449841722648954,0.39,0.24264109008932797,0.35303276591583366
Ablation: small vocabulary,48,0.37444444444444447,0.24213545363011474,0.3367471467857504,0.36333333333333334,0.24640643472985949,0.326411828216185
Ablation: +tags,42,0.3977777777777778,0.2680814026407198,0.35845025665565167,0.4088888888888889,0.28900572619204584,0.37488263332498756
Ablation: +tags,43,0.39222222222222225,0.29070868942713096,0.3619138470659911,0.4211111111111111,0.2993968712624455,0.38694495761777237
Ablation: +tags,44,0.4033333333333333,0.28877292851724545,0.37069941726535655,0.42,0.30418415927237075,0.38810395702940176
